gn_code;douanerecht;type_duty
0602903000;8.300 %;DUT 3TH
0602904500;6.500 %;DUT 3TH
0602907000;6.500 %;DUT 3TH
0602909100;6.500 %;DUT 3TH
0602909900;6.500 %;DUT 3TH
0602909990;6.500 %;DUT 3TH
0603900000;10.000 %;DUT 3TH
0604202000;2.500 %;DUT 3TH
0604209000;2.000 %;DUT 3TH
0604901100;0.000 %;DUT 3TH
0604901900;5.000 %;DUT 3TH
0604909100;0.000 %;DUT 3TH
0604909900;10.900 %;DUT 3TH
0701100000;4.500 %;DUT 3TH
0701901000;5.800 %;DUT 3TH
0701905000;9.600 %;DUT 3TH
0701909000;11.500 %;DUT 3TH
0701909090;11.500 %;DUT 3TH
0702000000;"Cond: V 62.600 EUR/DTN(01):8.800 % ; V 61.300 EUR/DTN(01):8.800 % + 1.300 EUR DTN ; V 60.100 EUR/DTN(01):8.800 % + 2.500 EUR DTN ; V 58.800 EUR/DTN(01):8.800 % + 3.800 EUR DTN ; V 57.600 EUR/DTN(01):8.800 % + 5.000 EUR DTN ; V 0.000 EUR/DTN(01):8.800 % + 29.800 EUR DTN";DUT 3TH
0702000000;"Cond: V 84.600 EUR/DTN(01):8.800 % ; V 82.900 EUR/DTN(01):8.800 % + 1.700 EUR DTN ; V 81.200 EUR/DTN(01):8.800 % + 3.400 EUR DTN ; V 79.500 EUR/DTN(01):8.800 % + 5.100 EUR DTN ; V 77.800 EUR/DTN(01):8.800 % + 6.800 EUR DTN ; V 0.000 EUR/DTN(01):8.800 % + 29.800 EUR DTN";DUT 3TH
0702000099;"Cond: V 84.600 EUR/DTN(01):8.800 % ; V 82.900 EUR/DTN(01):8.800 % + 1.700 EUR DTN ; V 81.200 EUR/DTN(01):8.800 % + 3.400 EUR DTN ; V 79.500 EUR/DTN(01):8.800 % + 5.100 EUR DTN ; V 77.800 EUR/DTN(01):8.800 % + 6.800 EUR DTN ; V 0.000 EUR/DTN(01):8.800 % + 29.800 EUR DTN";DUT 3TH
0702009900;"Cond: V 84.600 EUR/DTN(01):8.800 % ; V 82.900 EUR/DTN(01):8.800 % + 1.700 EUR DTN ; V 81.200 EUR/DTN(01):8.800 % + 3.400 EUR DTN ; V 79.500 EUR/DTN(01):8.800 % + 5.100 EUR DTN ; V 77.800 EUR/DTN(01):8.800 % + 6.800 EUR DTN ; V 0.000 EUR/DTN(01):8.800 % + 29.800 EUR DTN";DUT 3TH
0703101100;9.600 %;DUT 3TH
0703101900;9.600 %;DUT 3TH
0703109000;9.600 %;DUT 3TH
0703200000;9.600 % + 120.000 EUR DTN;DUT 3TH
0703900000;10.400 %;DUT 3TH
0704100000;13.600 % MIN 1.600 EUR DTN;DUT 3TH
0704101000;13.600 % MIN 1.600 EUR DTN;DUT 3TH
0704101000;9.600 % MIN 1.100 EUR DTN;DUT 3TH
0704101000;9.600 % MIN 1.100 EUR DTN;DUT 3TH
0704101000;9.600 % MIN 1.100 EUR DTN;DUT 3TH
0704109000;12.000 %;DUT 3TH
0704901000;12.000 % MIN 0.400 EUR DTN;DUT 3TH
0704909000;12.000 %;DUT 3TH
0705110000;12.000 % MIN 2.000 EUR DTN G;DUT 3TH
0705190000;10.400 %;DUT 3TH
0705210000;10.400 %;DUT 3TH
0705290000;10.400 %;DUT 3TH
0706100000;13.600 %;DUT 3TH
0706901000;10.400 %;DUT 3TH
0706901000;10.400 %;DUT 3TH
0706901000;10.400 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706901000;13.600 %;DUT 3TH
0706909000;13.600 %;DUT 3TH
0707000599;"Cond: V 48.100 EUR/DTN(01):16.000 % ; V 47.100 EUR/DTN(01):16.000 % + 1.000 EUR DTN ; V 46.200 EUR/DTN(01):16.000 % + 1.900 EUR DTN ; V 45.200 EUR/DTN(01):16.000 % + 2.900 EUR DTN ; V 44.300 EUR/DTN(01):16.000 % + 3.800 EUR DTN ; V 0.000 EUR/DTN(01):16.000 % + 37.800 EUR DTN";DUT 3TH
0708200000;10.400 % MIN 1.600 EUR DTN;DUT 3TH
0708900010;11.200 %;DUT 3TH
0708900090;11.200 %;DUT 3TH
0709300000;12.800 %;DUT 3TH
0709300090;12.800 %;DUT 3TH
0709400000;12.800 %;DUT 3TH
0709510000;12.800 %;DUT 3TH
0709601000;7.200 %;DUT 3TH
0709609900;6.400 %;DUT 3TH
0709910000;10.400 %;DUT 3TH
0709931000;"Cond: V 41.300 EUR/DTN(01):12.800 % ; V 40.500 EUR/DTN(01):12.800 % + 0.800 EUR DTN ; V 39.600 EUR/DTN(01):12.800 % + 1.700 EUR DTN ; V 38.800 EUR/DTN(01):12.800 % + 2.500 EUR DTN ; V 38.000 EUR/DTN(01):12.800 % + 3.300 EUR DTN ; V 0.000 EUR/DTN(01):12.800 % + 15.200 EUR DTN";DUT 3TH
0709939000;12.800 %;DUT 3TH
0709991000;10.400 %;DUT 3TH
0709994000;5.600 %;DUT 3TH
0709995000;8.000 %;DUT 3TH
0709999000;12.800 %;DUT 3TH
0709999020;12.800 %;DUT 3TH
0709999072;12.800 %;DUT 3TH
0709999090;12.800 %;DUT 3TH
0710210000;14.400 %;DUT 3TH
0710210090;14.400 %;DUT 3TH
0710220000;14.400 %;DUT 3TH
0710220020;14.400 %;DUT 3TH
0710220090;14.400 %;DUT 3TH
0710290000;14.400 %;DUT 3TH
0710300000;14.400 %;DUT 3TH
0710400090;5.100 % + 9.400 EUR DTN E;DUT 3TH
